1a cpw1	Github 帳號	目前所在位置	是否有電腦能上網	是否同意實體分流上課	是否同意全時遠距上課	其他補充意見
40823214	40823214	虎尾租屋處	有	還行	同意	
40823227	40823227	虎尾租屋處	有	是	是	
40923114	40923114	虎尾租屋處	有	是	是	
40923115	40923115	家	有	是	是	
40923129	40923129	虎尾租屋處	有	是	是	
40923146	a40923146	家裡	有	是	是	
40923157						
41023101	WANG-YI-TING	宿舍	有	是	是	
41023102	Yuli1106	家	有	是	是	
41023103	ro731	家裡	有	是	是	
41023104	CHIA-ROU	宿舍	有	是	是	
41023105						
41023106	lee-kai-shin	宿舍	有	是	是	
41023107	LIN-TING-YUN	宿舍	有	是	是	
41023108	aa41023108	宿舍	有	是	是	
41023109	41023109	西螺家裡	有	是	是	
41023110	41023110	宿舍	有	同意	同意	
41023111	41023111	住家	有	是	是	
41023112	41023112	家裡	有	是	是	
41023113	Xiang41023113	住家	有	是	是	
41023114	41023114	虎尾租屋處	有	是	是	
41023115	41023115	虎尾租屋處	有	是	是	
41023116	WUJINGYI112233	家裡	有ㄈ	是	是	
41023117	41023117	虎尾租屋處	有	還行啦	可以但是不太想要	
41023118	41023118	家裡	有	是	是	
41023119	41023119	家裡	有	是	是	
41023120	41023120	家裡	有	是	是	
41023121	nses8210.nses	虎尾租屋處	有	是	是	
41023122	41023122	宿舍	有	是	是	
41023123						
41023124	41023124	家裡	有	是	同意	
41023125	41023125	學校宿舍	否	是	是	
41023126	41023126	家裡	有	是	同意	
41023127	 chou-yu-hao	家裡	有	是	同意	
41023128	41023128	虎尾租屋處	有	是	是	
41023129	41023129	家裡	有	可以	可以	
41023130	41023130	宿舍	有	同意	同意	
41023131	george0324	家裡	有	是	是	
41023132	BX41023132	家裡	有	是	是	
41023133	jian3-Lin	虎尾租屋處	有	是	是	
41023134	41023134	虎尾租屋處	否	同意	同意	
41023135	41023135	宿舍	有	同意	同意	無
41023136	Lin-HongYi	住家	有	同意	可以	
41023137	41023137	學校宿舍	否	是	是	
41023138	41023138	家裡	有	同意	同意	
41023139						
41023140	dan40123140	虎尾租屋處	有	是	是	無
41023141	jeff833	家裡	有	是	是	
41023142						
41023143	zx366449	家裡	有	同意	同意	
41023144	Ke1357	虎尾租屋處	有	同意	同意	
41023145	frank40356	家裡	有	是	是	
41023146	41023146	家裡	有	是	同意	
41023147	Xiang0502	虎尾租屋處	有	是	同意	
41023148						
41023149	41023149	家裡	有	是	是	
41023150	yckaooooo	家裡	有	是	是	
41023151	Urchen104023	家裡	有	是	是	
41023152	Chang-Nien-Chun	家裡	有	是	是	
41023153	yutang327	家裡	有	是	同意	
41023154	41023154	家裡	有	是	是	
41036115	41036115	家裡	有	是	是	
