1a cp2021 w2	github account	目前所在位置	是否能在住宿地開鏡頭上課	w1 工作項目內容	w1 工作心得	w1 遭遇問題與解決方案	其他
40727140							
40823214	40823214	虎尾宿舍	不一定(鏡頭怪怪的	架設倉儲		不知道怎麼透過github page嵌入Brython	
40823227	40823227	虎尾宿舍	可以	架設倉儲		架設時遇到一些問題	
40832244	tingpentingguin	學校圖書館	可	剛選課成功，還未進行補課			
40923114	40923114	虎尾租屋處	可	架設倉儲			
40923115	40923115	家	否	架設倉儲		帳號被鎖	
40923129							
40923146	a40923146	家裡	可以	架設倉儲			
40923157							
41023101	41023101	虎尾宿舍	可以	架設倉儲	需要很多時間去了解		
41023102	Yuli1106	家	否	架設倉儲			
41023103	ro731	家	否				
41023104	41023104	虎尾宿舍	可以	架設倉儲			
41023105	41023105	家	可以	尚未完成			
41023106	41023106	宿舍	可以	架設倉儲			
41023107	41023107	宿舍	可以	架設倉儲			
41023108							
41023109	41023109	家	可以	架設倉儲			
41023110	41023110	家	否				
41023111	41023111	住家	可以				
41023112	41023112	虎尾租屋處	否				
41023113	Xiang41023113	住家	可以				
41023114							
41023115	41023115	虎尾租屋處	可以				
41023116	WUJINGYI112233	家	可				
41023117							
41023118	41023118	家裡	可以				
41023119	41023119	家裡	可以				
41023120	41023120	宿舍	可以	架設倉儲			
41023121	41023121	家裡	可以				
41023122	41023122	虎尾宿舍	可以	架設倉儲	我是誰,我在哪,我都聽不懂	需要我方支援	
41023123							
41023124	41023124	住家	否				
41023125	41023125	學生宿舍	否	架設倉儲	不太熟悉	沒有電腦	
41023126							
41023127							
41023128	41023128	虎尾租屋處	不行				
41023129	41023129	家裡	可以	架設倉儲	挺複雜的		
41023130							
41023131							
41023132	BX41023132	家	可				
41023133	41023133	虎尾租屋處	可以	架設鏡頭			
41023134	41023134	虎尾租屋處	不行				
41023135							
41023136	Lin-HongYi	家	可以		需要有人一步一步慢慢教		
41023137							
41023138	41023138	住家	可以	架設倉儲			
41023139							
41023140	dan40123140	虎尾租屋處	可以	架設倉儲			
41023141							
41023142							
41023143	zx366449	家	可以				
41023144	41023144	家裡	不行				
41023145	frank40356	家	可				
41023146	41023146	家	可以				
41023147	Xiang0502	家	可				
41023148	41023148	家	可				
41023149	41023149	家裡	可以				
41023150	yckaooooo	家	可以				
41023151	urchen41023151	家裡	可以				
41023152	Chang-Nien-Chun	家裡	可以				
41023153	yutang327	家裡	可				
41023154	41023154	家	可				
41036115	41036115	家裡	不行				
