1b cpw1	Github 帳號		是否能在住宿地遠距開 webcam 上課	若學校要求是否同意實體分流上課	其他補充意見
40931117					
40931127					
40971220	40971220	虎尾	是	是	
40971227	40971227	虎尾	是		
41023201	ruoqinz0421	台中	是	是	
41023202	ting0111	台中	能	是	無
41023203	SHIUN129	彰化	能	是	
41023204	04yuxan	南投	能	是	無
41023205	c-ching	台中	能	是	
41023206	tseYU000	台南	能	是	
41023207	chiiip333	新北	否	是	無
41023208	ziyi8	雲林	否	是	無
41023209	shui1019	雲林	是	是	
41023210	viviancrown5158	台南	是	是	
41023211	Wmrtbij49h				
41023212	yonqui0411	虎尾	是	是	無
41023213	bingyangfs	新北	是	是	無
41023215	jia5177	基隆	是	是	無
41023216	41023216	彰化	是	是	無
41023217	yuwei0000	嘉義	否	是	無
41023218	snowfall-killer	台中	是	是	無
41023219	gu811	台南	是	是	無
41023220	41023220	桃園	是	是	無
41023221	41023221	虎尾科大宿舍	是	是	無
41023222	41023222	台中	是	是	無
41023223	EHIfish	虎尾	否	是	無
41023224	41023224	台南	是	是	無
41023225	xiaomantou0411	台中	是	是	無
41023226	41023226	雲林	是	是	無
41023227	ken6003	台中	是	是	無
41023228	RWE1116	台南	是	是	無
41023229	CHI1020	彰化	是	是	無
41023230	41023230	台南	能	是	無
41023231	a88665459	台南	是	是	無
41023232	YUN4	彰化	是	是	無
41023233	Angus676	桃園	是	是	無
41023234	Maskie-Razzio	屏東	Nope 	否	無
41023235					
41023236	Bored1236	新北市	是	是	無
41023237	www000123	虎尾科大學校宿舍	能	OK	
41023238		住所	是	是	
41023239	a92826	台北	是	是	
41023240	YHY30678	虎尾	是	是	無
41023241	Yao-Hsien41023241	台中	是	可	沒
41023242	xuhong123	桃園	是	是	無
41023243	kenneth0812	雲林	是	是	無
41023244	liao0219	台中	是	是                                                                   	無
41023245	41023245	宜蘭	是	是	無
41023246	yuchen1031	嘉義	是	是	無
41023247	41023247	新北	能	是	無
41023248	41023248	台南	是	是	
41023249	BrianTsai071	虎尾	是	是	無
41023250	Ruiiide	台中 	是	是	無
41023251	sdegbsvrtg	虎尾科大圖書館	可  	無意見	無
41023252	ZYC0923	苗栗	是	是	無
41023253	tzm_falldown	屏東	可	是	無
41023254	41023254	住家-桃園	能	無意見	無
